,name,lat,lon,areal_km2,gw,2030,2035,2040,cap2040,kommmentar
1,Nordavind B,71.77702737,27.75296304,2239,11.195,0,0,0.5,1.5,
2,Nordavind C,71.72764915,20.01443506,1054,5.27,0,0,0,1.5,
3,Nordavind D,71.44972828,18.80136939,4112,20.56,0,0,0.5,1.5,
4,Nordavind A,71.11164359,32.0080315,4275,21.375,0,0,0,1.5,
5,Nordvest A,66.23346252,9.580682563,11307,56.535,0,0,2,1.5,
6,Nordvest B,64.75230048,7.407387346,3437,17.185,0,0,0,1.5,
7,Nordvest C,63.77727349,6.647918674,5582,27.91,0,0,3,1.5,
8,Vestavind A,61.98188847,3.705499849,1884,9.42,0,0,1.5,1.5,
9,Vestavind B,61.05563737,3.617045878,2985,14.925,0,0,3,1.5,
10,Vestavind C,60.42613823,3.805053435,1064,5.32,0,0,0,1.5,
11,Vestavind D,60.33704866,4.383741014,734,3.67,0,0,0,1.5,
12,Vestavind F,59.2924674,4.486899244,1989,9.945,1,2,2,1.5,Utsira Nord
13,Vestavind E,59.11131655,3.852830719,1475,7.375,0,0,2.5,1.5,
14,Sørvest A,57.9028759,3.538708345,1456,7.28,0,0,0,1.5,
15,Sørvest E,57.46338157,4.727917894,1016,5.08,0,0,0,1.5,
16,Sørvest B,57.3480636,3.360271522,2179,10.895,0,1.5,3,1.5,
17,Sørvest C,57.03010167,3.885691333,1766,8.83,0,3,3,1.5,
18,Sørvest F,56.81703138,4.872008852,2702,13.51,0,1.5,6,1.5,Sørlige Nordsjø 2
19,Sørvest D,56.46469761,3.840187105,1215,6.075,0,0,0,1.5,
20,Sønnavind A,57.51624269,7.391032075,2900,14.5,0,1.5,3,1.5,
